NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
 K-market Seppäläntie;Seppäläntie 19;07900;Loviisa;Loviisa;29.07.2018;Vähittäismyyntilupa/max. 5.5 %;2480964-8
 Laanthai Ravintola;Ursininkatu 12;20100;Turku;Turku;01.09.2020;Ann.lupa sis. vähittäismyynnin;2503789-7
 Lucky Palace;Porttisuontie 4;01200;Vantaa;Vantaa;01.04.2023;Anniskelu A, kaikki alkoholijuomat;2559958-2
 Bodegan  Käringsunds Gästhamn;Gamla Käringsundsvägen;22270;Eckerö;Eckerö;31.03.2021;Anniskelu A, kaikki alkoholijuomat;2104560-3
 Kauppala ;Hollikankaantie 149 A 3;42910;Pihlajavesi;Keuruu;30.04.2013;Vähittäismyyntilupa/max. 5.5 %;2520002-5
 Kea-Market ;Söderby 50;22610;Lemland;Lemland;01.08.1969;Vähittäismyyntilupa/max. 5.5 %;0205037-8
10-Kerho;Asemakatu 10;84100;Ylivieska;Ylivieska;28.05.2009;Anniskelu A, kaikki alkoholijuomat;2264928-1
1000 Lakes Distillery;Jääskeläntie 214;40800;Vaajakoski;Jyväskylä;09.12.2020;Käsityöläisoluen vähittäismyynti/max 12.0%;2374374-7
158 Kiinalainen ravintola;Viilarinkatu 3;20320;Turku;Turku;05.11.2018;Anniskelu A, kaikki alkoholijuomat;2912106-8
1Etappi;Etappitie 1;95200;Simo;Simo;01.02.2022;Anniskelu A, kaikki alkoholijuomat;N/A
1H+Keittiö, Ett rum och kök;Hovrättsesplanaden 13 A;65100;Vaasa;Vaasa;15.12.2011;Anniskelu A, kaikki alkoholijuomat;2439278-2
1bar;Kauppurienkatu 5;90100;Oulu;Oulu;25.01.2008;Anniskelu A, kaikki alkoholijuomat;2165210-4
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;Tampere;30.01.2004;Anniskelu A, kaikki alkoholijuomat;1862172-9
2Puoli;Urheilukentäntie 22;21820;Kumila;Pöytyä;01.05.2023;Määräaikainen A, kaikki alkoholijuomat;0668728-8
2Puuta Bistro & Bar;Kauppalankatu 2;05800;Hyvinkää;Hyvinkää;02.04.2020;Ann.lupa sis. vähittäismyynnin;2906070-1
3-0 Sportbar Burger etc.;Yliskylän puistokatu 4;00840;Helsinki;Helsinki;22.11.2018;Anniskelu A, kaikki alkoholijuomat;2876270-1
32 Rock Bar;Mäkelänkatu 32;00510;Helsinki;Helsinki;01.09.2019;Anniskelu A, kaikki alkoholijuomat;2976401-2
45 Special;Saaristonkatu 12;90100;Oulu;Oulu;01.02.2023;Anniskelu A, kaikki alkoholijuomat;3330117-6
4Catering Oy;Pyynikintie 25 y 14;33230;Tampere;Tampere;02.07.2018;Anniskelulupa ilman toimipaikkaa;2478706-3
4Chiefs;Leppävaarankatu 3-9;02600;Espoo;Espoo;31.07.2020;Anniskelu A, kaikki alkoholijuomat;3132285-4
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;Tampere;10.08.2020;Anniskelu A, kaikki alkoholijuomat;3147106-7
5piste5 x Myrrys;Brahenkatu 2;20100;Turku;Turku;01.03.2023;Ann.lupa sis. vähittäismyynnin;3336573-5
60s Palaver;Kauppakatu 22;80100;Joensuu;Joensuu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2596525-5
8-Bit Save Point;Karamalmintie 2;02630;Espoo;Espoo;16.10.2020;Käsityöläisoluen vähittäismyynti/max 12.0%;2769923-7
8-Bit Save Point Terrace;Hankasuontie 4;00390;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2769923-7
8Baari;Ylioppilaankatu 6-8;33720;Tampere;Tampere;01.01.2016;Anniskelu A, kaikki alkoholijuomat;N/A
96 aste;Kauppakatu 26;87100;Kajaani;Kajaani;12.04.2003;Anniskelu A, kaikki alkoholijuomat;1733494-7
9PIRTTI;Ysitie 1086;77630;Lempyy;Suonenjoki;03.04.2020;Ann.lupa sis. vähittäismyynnin;N/A
@EVA;Kauppiaskatu 4;21600;Parainen;PARAINEN;01.07.2019;Anniskelu A, kaikki alkoholijuomat;1802985-6
A Nissinen Ky;Hämeenlampi;74230;Salahmi;Vieremä;06.11.1990;Vähittäismyyntilupa/max. 5.5 %;0283868-3
A-Biljardi Oy;Yliopistonkatu 14;20100;Turku;Turku;01.03.2023;Ann.lupa sis. vähittäismyynnin;2690472-9
A-kioski;Teollisuuskatu 3;00510;Helsinki;Helsinki;22.02.2021;Vähittäismyyntilupa/max. 5.5 %;3163666-9
A.O. Vuorinen Oy / Kauppahalli-;Torikatu 3;15110;Lahti;Lahti;13.06.1995;Vähittäismyyntilupa/max. 5.5 %;0149578-9
AA HAN THAI;Mechelininkatu 17;00100;Helsinki;Helsinki;11.12.2012;Anniskelu A, kaikki alkoholijuomat;2489834-5
AAKOO Pub;Kiekkokuja 1;46900;Inkeroinen;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0906820-4
AAVA Lapland;Vaeltajantie 2;95980;Ylläsjärvi;Kolari;17.07.2020;Anniskelu A, kaikki alkoholijuomat;2382038-6
AB Oneils Kitchen Oy;Simhallsvägen 1;64230;Närpiö As;Närpiö;13.11.2018;Anniskelu A, kaikki alkoholijuomat;2814218-2
ABB;Valimopolku 4;00380;Helsinki;Helsinki;18.03.2005;Anniskelu A, kaikki alkoholijuomat;0873697-9
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;Pyhtää;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC  Nastola;Majakkatie 2;15540;Villähde;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC  Nurmes Market;Välitie 2-4;75530;Nurmes;Nurmes;01.09.2019;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC  Vaasa Kivihaka;Kiilletie 2;65300;Vaasa;Vaasa;04.06.2014;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Alajärvi;Yrittäjäntie 5;62900;Alajärvi;Alajärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Amiraali;Haminantie 1;48770;Kotka;Kotka;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Amiraali, Sale;Haminantie 1;48810;Kotka;Kotka;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Anjalankoski;Hallitie 2;46860;Keltakangas;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Anjalankoski;Hallitie 2;46860;Keltakangas;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Aura myymälä;Valtatie 36;21380;Aura;Aura;01.01.2015;Vähittäismyyntilupa/max. 5.5 %;0142122-9
ABC Deli Outokumpu;Keskuskatu 1;83500;Outokumpu;Outokumpu;14.12.2007;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Forssa;Autoilijankatu;30100;Forssa;Forssa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Forssa market;Matkailijankatu 2;30100;Forssa;Forssa;12.10.2005;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC Haapajärvi;Puistokatu 40;85800;Haapajärvi;Haapajärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Haapajärvi myymälä;Puistokatu 40;85800;Haapajärvi;Haapajärvi;01.10.2003;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Heinola;Työmiehentie 33;18200;Heinola;Heinola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Hirvaskangas myymälä;Suonenjoentie 10;41290;Kangashäkki;Äänekoski;10.01.2003;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Hirvaskangas, rav;Suonenjoentie 10;41290;Kangashäkki;Äänekoski;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Huittinen Market;Loimijoentie 89;32700;Huittinen;Huittinen;18.05.2010;Vähittäismyyntilupa/max. 5.5 %;0137281-8
ABC Häijää;Kauppakuja 1;38420;Sastamala;Sastamala;01.06.2022;Anniskelu A, kaikki alkoholijuomat;0536307-0
ABC Imatra, Sale-myymälä;Tiedonkatu 2;55420;Imatra;Imatra;03.04.2014;Vähittäismyyntilupa/max. 5.5 %;0162170-6
ABC Jalasjärvi;Oikotie 1;61600;Jalasjärvi;Kurikka;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Joutsentie;Joutsentie 9;84100;Ylivieska;Ylivieska;06.02.1995;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Juuka Ravintola;Karjalantie 1;83900;Juuka;Juuka;01.09.2019;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Juva ravintola;Tulostie 1;51900;Juva;Juva;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0207220-0
ABC Kajaani;Taikatie 4;87700;Kajaani;Kajaani;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0185505-1
ABC Kalajoki Hiekkasärkät myymälä;Matkailutie 311;85100;Kalajoki;Kalajoki;24.06.2004;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Kaleva Sale;Ilmarinkatu 49;33500;Tampere;Tampere;22.01.2009;Vähittäismyyntilupa/max. 5.5 %;0536307-0
ABC Kannus;Junkalantie 1;69100;Kannus;Kannus;01.03.1995;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Karkkila Masuuni myymälä;Santasalonkatu 2;03600;Karkkila;Karkkila;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1834868-9
ABC Kauhajoki;Topeeka 65;61800;Kauhajoki;Kauhajoki;01.03.1995;Vähittäismyyntilupa/max. 5.5 %;0567671-2
ABC Kauhajoki;Topeeka 63-65;61800;Kauhajoki;Kauhajoki;01.05.2000;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Kauhava;Peltopassi 2;62200;Kauhava;Kauhava;03.10.2019;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Kausala;Hallitie 1;47400;Kausala;Iitti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Kausala;Hallitie 1;47400;Kausala;Iitti;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Kemijärvi;Pajulantie 2;98100;Kemijärvi;Kemijärvi;13.03.2008;Vähittäismyyntilupa/max. 5.5 %;0186399-1
ABC Keuruu;Jyväskyläntie 5;42700;Keuruu;Keuruu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Keuruu;Jyväskyläntie 5;42700;Keuruu;Keuruu;16.03.1995;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Kiikoinen;Taitajantie 1;38360;Sastamala;Sastamala;02.10.2006;Vähittäismyyntilupa/max. 5.5 %;0137281-8
ABC Kippari;Satamakatu 2;49400;Hamina;Hamina;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Kippari, Sale;Satamakatu 2;49400;Hamina;Hamina;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Kitee;Kiteentie 20;82500;Kitee;Kitee;05.06.1995;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Kitee;Kiteentie 20;82500;Kitee;Kitee;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Kivimaa;Kiitokatu 2;15210;Lahti;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Kivimaa;Kiitokatu 2;15240;Lahti;Lahti;03.12.2012;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC Kokkola;Heinolankaari 1;67700;Kokkola;Kokkola;04.02.2005;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Kokkola;Heinolankaari 1;67700;Kokkola;Kokkola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Kontiolahti;Uurolantie 4;80770;Kontiolahti As;Kontiolahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Koria;Suviojantie 19;45610;Koria;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Koria;Suviojantie 19;45610;Koria;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Kristiinankaupunki;Vanha Vaasantie 11;64300;Lapväärtti;Kristiinankaupunki;07.07.2008;Vähittäismyyntilupa/max. 5.5 %;0567671-2
ABC Kristiinankaupunki;Vanha Vaasantie 11;64300;Lapväärtti;Kristiinankaupunki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Kuortti ravintola;Mäyrätie 1;19410;Kuortti;Pertunmaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0207220-0
ABC Lapua;Latojantie 9;62100;Lapua;Lapua;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Lieksa;Kalliokatu 8;81700;Lieksa;Lieksa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Lieksa;Kalliokatu;81700;Lieksa;Lieksa;11.12.2006;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Lohja;Hossanmäentie 1;08350;Lohja;Lohja;28.10.2009;Vähittäismyyntilupa/max. 5.5 %;1834868-9
ABC Majakka Sale;Pyhtääntie 38-40;49270;Pyhtää;Pyhtää;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Marjahaka (vähittäismyynti);Lammenkaari 2;74130;Iisalmi;Iisalmi;24.10.1997;Vähittäismyyntilupa/max. 5.5 %;0864235-8
ABC Marjala ravintola;Marjalantie 18;80140;Joensuu;Joensuu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Market Heinola;Työmiehentie 33;18200;Heinola;Heinola;14.02.2008;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC Market Kuninkaantie;Vanhankyläntie 77;07740;Pernajan Vanhakylä;Loviisa;01.07.2011;Vähittäismyyntilupa/max. 5.5 %;2364515-1
ABC Nurmes Ravintola;Välitie 2-4;75530;Nurmes;Nurmes;01.09.2019;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Oravainen;Kokkolantie 75;66800;Oravainen;Vöyri;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Oritupa;Valtatie 9;35300;Orivesi;Orivesi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0536307-0
ABC Oritupa myymälä;Valtatie 9;35300;Orivesi;Orivesi;30.09.2002;Vähittäismyyntilupa/max. 5.5 %;0536307-0
ABC Padasjoki;Tauluntie;17500;Padasjoki;Padasjoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Padasjoki myymälä;Tauluntie 124;17500;Padasjoki;Padasjoki;31.08.2007;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC Palokka;Palokanorsi 10;40270;Palokka;Jyväskylä;31.01.2009;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Palokka;Palokanorsi 10;40270;Palokka;Jyväskylä;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Perniö myymälä;Haarlantie 10;25500;Perniö;Salo;01.05.2010;Vähittäismyyntilupa/max. 5.5 %;1834868-9
ABC Pieksämäki ravintola;Vehkanotko 2;76150;Pieksämäki;Pieksämäki;03.05.2006;Vähittäismyyntilupa/max. 5.5 %;0207220-0
ABC Pietarsaari;Autotie 2;68600;Pietarsaari;Pietarsaari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Pietarsaari;Autotie 2;68600;Pietarsaari;Pietarsaari;18.11.2011;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Piihovi myymälä;Ruoksmäentie 1;24260;Salo;Salo;01.05.2010;Vähittäismyyntilupa/max. 5.5 %;1834868-9
ABC Prisma;Tommolankatu 9;45130;Kouvola;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Pudasjärvi;Varsitie 1;93100;Pudasjärvi;Pudasjärvi;01.09.2021;Vähittäismyyntilupa/max. 5.5 %;0187614-3
ABC Pyhäjärvi;Liiketie 2;86800;Pyhäsalmi;Pyhäjärvi;23.05.2008;Vähittäismyyntilupa/max. 5.5 %;0864235-8
ABC Raisio;Piilipuunkatu 2;21200;Raisio;Raisio;01.01.2015;Vähittäismyyntilupa/max. 5.5 %;0142122-9
ABC Renkomäki;Simolanmutka 1;15680;Lahti;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Riihimäki;Kinturintie 2;11120;Riihimäki;Riihimäki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Sale Kontiolahti;Uurolantie 4;80770;Kontiolahti As;Kontiolahti;01.06.2013;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Sale Marjala;Marjalantie 18;80140;Joensuu;Joensuu;01.06.2004;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Sale Oravainen;Kokkolantie 75;66800;Oravainen;Vöyri;08.03.1995;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Seinäjoki;Verkatehtaankatu 13;60100;Seinäjoki;Seinäjoki;15.11.2001;Vähittäismyyntilupa/max. 5.5 %;0567671-2
ABC Seinäjoki;Verkatehtaankatu 13;60100;Seinäjoki;Seinäjoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Siihtala;Nurmeksentie 2;80100;Joensuu;Joensuu;06.06.2001;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Siihtala ravintola;Nurmeksentie 2;80100;Joensuu;Joensuu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Särkisalmi / Ravintola;Rinnekatu 1;59310;Särkisalmi;Parikkala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0162170-6
ABC Särkisalmi / Sale;Rinnekatu 1;59310;Särkisalmi;Parikkala;28.05.2009;Vähittäismyyntilupa/max. 5.5 %;0162170-6
ABC Tiiriö;Paroistentie 1;13600;Hämeenlinna;Hämeenlinna;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Toijala myymälä;Sirkesalontie 2;37800;Akaa;Akaa;01.06.2002;Vähittäismyyntilupa/max. 5.5 %;0536307-0
ABC Toijala, Ravintola;Sirkesalontie 2;37800;Akaa;Akaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0536307-0
ABC Tornio;Oikokatu 1;95420;Tornio;Tornio;01.01.2009;Vähittäismyyntilupa/max. 5.5 %;0187614-3
ABC Tuohikotti;Huoltamontie 2;46110;Tuohikotti;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Tuohikotti;Kauppatie 1;46110;Tuohikotti;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Tupos, myymälä;Tuposkorva 1;91910;Tupos;Liminka;01.01.2009;Vähittäismyyntilupa/max. 5.5 %;0187614-3
ABC Tuukkala ravintola;Annilantie 2;50100;Mikkeli;Mikkeli;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0207220-0
ABC Utti;Lentoportintie 3;45410;Utti;Kouvola;01.01.2013;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Utti;Lentoportintie 3;45410;Utti;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Vaajakoski;Vaajakoskentie 850;40800;Vaajakoski;Jyväskylä;10.04.2003;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Vaajakoski;Vaajakoskentie 850;40800;Vaajakoski;Jyväskylä;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Vaalanportti myymälä;Vaalantie 285;91700;Vaala;Vaala;01.01.2009;Vähittäismyyntilupa/max. 5.5 %;0187614-3
ABC Vaasa;Kiitokaari 2;65380;Vaasa;Vaasa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Vaasa;Kiitokaari 2;65380;Vaasa;Vaasa;01.10.2004;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Vaasa Kivihka;Kiilletie 2;65300;Vaasa;Vaasa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Valkeala;Valtatie 15;45370;Valkeala;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Valkeala Sale;Kalevantie 1;45370;Valkeala;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Viipurinportti Sale;Hirsimäenkatu 1;53500;Lappeenranta;Lappeenranta;02.06.2004;Vähittäismyyntilupa/max. 5.5 %;0162170-6
ABC Viitasaari;Kokkosalmentie 7;44500;Viitasaari;Viitasaari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Viitasaari myymälä;Kokkosalmentie 7;44500;Viitasaari;Viitasaari;30.12.2004;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Wisiitti;Oikotie 1;61600;Jalasjärvi;Kurikka;04.08.1995;Vähittäismyyntilupa/max. 5.5 %;0567671-2
ABC trafikbutik Karis;Läppåkersgatan 2;10320;Karjaa;Raasepori;01.07.2011;Vähittäismyyntilupa/max. 5.5 %;2364515-1
ABC-Lahdesjärvi;Automiehenkatu 39;33840;Tampere;Tampere;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0536307-0
ABC-Market Kuusamo;Ouluntie 40;93600;Kuusamo;Kuusamo;15.06.2004;Vähittäismyyntilupa/max. 5.5 %;0186399-1
ABC-Varkaus Sale Express;Käpykankaantie 8;78850;Varkaus;Varkaus;10.11.2004;Vähittäismyyntilupa/max. 5.5 %;0864235-8
ABC-market Nastola;Majakkatie 2;15540;Villähde;Lahti;01.02.2001;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC-market Pitkäjärvi;Hietakatu 7;50130;Mikkeli;Mikkeli;31.01.2012;Vähittäismyyntilupa/max. 5.5 %;0207220-0
ABC-market Riihimäki;Kinturintie 2;11120;Riihimäki;Riihimäki;04.03.2008;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC-market Tiiriö;Paroistentie 1;13600;Hämeenlinna;Hämeenlinna;07.06.2006;Vähittäismyyntilupa/max. 5.5 %;0910257-2
AC Oulun ottelut, Raatin stadion;Raatintie 2;90100;Oulu;Oulu;01.04.2023;Määräaikainen A, kaikki alkoholijuomat;2220990-5
ADA kebab-pizzeria;Kauppiaskatu 5;20100;Turku;Turku;07.07.2020;Anniskelu A, kaikki alkoholijuomat;N/A
AT NATURE;Terstontie 123;99870;Inari;Inari;21.02.2020;Anniskelu A, kaikki alkoholijuomat;2962047-3
AVKLUBI;Haapasaarentie 3;00960;Helsinki;Helsinki;10.04.2019;Anniskelu A, kaikki alkoholijuomat;2975600-4
A`la Miina , Kruununvoudintalo;Kaarlelankatu 43;67100;Kokkola;Kokkola;07.10.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Aakenus Grill Restaurant;Iso-Ylläksentie 1;95980;Ylläsjärvi;Kolari;01.11.2019;Anniskelu A, kaikki alkoholijuomat;3087702-2
Aallonmurtaja;Saunatie 8;40900;Säynätsalo;Jyväskylä;17.06.2022;Ann.lupa sis. vähittäismyynnin;2819419-3
Aaltone Baari;Salhojankatu 42;33500;Tampere;Tampere;01.05.2023;Määräaikainen A, kaikki alkoholijuomat;3217907-6
Aarnikota;Kerotie 10;99555;Luosto;Sodankylä;16.09.2021;Anniskelu A, kaikki alkoholijuomat;3229901-9
Aaroninkorven kioski;Pinsiöntie 31;37130;Nokia;Nokia;12.09.2011;Vähittäismyyntilupa/max. 5.5 %;2421108-0
Aavalinna;Kilpisjärventie 14;95620;Aavasaksa;Ylitornio;25.04.2000;Vähittäismyyntilupa/max. 5.5 %;1594506-6
Aavasaksan Aurinkomaja;Aavasaksanvaarantie 181;95620;Aavasaksa;Ylitornio;01.09.2022;Anniskelu A, kaikki alkoholijuomat;3118884-3
Ab Holms Oy;Kvevlaxvägen 4;66530;Koivulahti;Mustasaari;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0181002-1
Ab Servicestation Sandholm &;Strandvägen 1521;66100;Maalahti;Maalahti;24.05.1995;Vähittäismyyntilupa/max. 5.5 %;0564040-2
Abrahamin kulttuuripuisto;Rantatie 14;91900;Liminka;Liminka;23.07.2022;Anniskelu A, kaikki alkoholijuomat;3165870-2
Ace Corner Finland;Veistämönkatu 1 B;15140;Lahti;Lahti;12.04.2012;Anniskelu A, kaikki alkoholijuomat;2408600-5
Adalar Ravintola pizza kebab;Kirkkotie 1;90830;Haukipudas;Oulu;25.02.2019;Ann.lupa sis. vähittäismyynnin;2432997-8
Adalminan Helmi;Ylhäntie 1;09120;Karjalohja;Lohja;24.05.2021;Ann.lupa sis. vähittäismyynnin;2688952-2
Addis Ethiopian Kitchen;Firdonkatu 2 B;00520;Helsinki;Helsinki;01.10.2022;Anniskelu A, kaikki alkoholijuomat;2759883-1
Addis Ethiopian Kitchen;Sturenkatu 28;00510;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2759883-1
Adlerfelt;Suomenlinna B 1;00190;Helsinki;Helsinki;08.04.2020;Ann.lupa sis. vähittäismyynnin;2684751-7
Adzika;Toinen linja 7;00530;Helsinki;Helsinki;15.02.2023;Anniskelu A, kaikki alkoholijuomat;3150935-2
AeroNam/Redstone Cafe;Lentokenttä-Helsinki-East aero;49270;Pyhtää;Pyhtää;02.07.2021;Anniskelu A, kaikki alkoholijuomat;3202256-2
AeroNamNam/Aeronautica;Kotitie 10;49270;Pyhtää;Pyhtää;01.06.2021;Anniskelu A, kaikki alkoholijuomat;3202256-2
Afrodite Taverna;Hämeenkatu 9;20500;Turku;Turku;30.07.2021;Anniskelu A, kaikki alkoholijuomat;3222633-8
Afry;Jaakonkatu 3;01620;Vantaa;Vantaa;01.02.2000;Anniskelu A, kaikki alkoholijuomat;0873697-9
After Bar;Porrassalmenkatu 21;50100;Mikkeli;Mikkeli;01.10.2020;Anniskelu A, kaikki alkoholijuomat;2446566-2
Ahaan Tam Sang;Itäkatu 1-5;00930;Helsinki;Helsinki;01.08.2022;Anniskelu A, kaikki alkoholijuomat;2825089-6
Ahjokadun Kebab;Ahjokatu 14-16;40320;Jyväskylä;Jyväskylä;16.03.2020;Anniskelu A, kaikki alkoholijuomat;2988846-1
Ahjon Paja;Terästie 2;04220;Kerava;Kerava;01.08.2018;Anniskelu A, kaikki alkoholijuomat;2538756-3
Ahkionlahden Kanavakahvila;Pielavedentie 642;71760;Ahkionlahti;Kuopio;02.04.2022;Ann.lupa sis. vähittäismyynnin;2164673-2
Ahkun Tupa;Lemmenjoentie 1030;99885;Lemmenjoki;Inari;22.06.1988;Anniskelu A, kaikki alkoholijuomat;0429947-6
Ahlaisten Kievari;Merikarvian rantatie 779;29700;Ahlainen;Pori;16.11.1990;Anniskelu A, kaikki alkoholijuomat;0204361-0
Ahmon Golfklubi;Kotaniementie 84;74140;Iisalmi;Iisalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0952417-7
Ahoska Catering;Keskuskatu 24;23800;Laitila;Laitila;29.01.2021;Anniskelu A, kaikki alkoholijuomat;0624455-9
Ahtialan Krouvi;Laitumenkatu 6;15300;Lahti;Lahti;19.06.2018;Anniskelu A, kaikki alkoholijuomat;1801936-7
Ahveniston toimintapuisto;Olympiakatu 18-20;13130;Hämeenlinna;Hämeenlinna;27.11.2018;Ann.lupa sis. vähittäismyynnin;2676451-9
