NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Suomalainen Pohja;Aurakatu 24;20100;Turku;Turku;01.01.2017;Anniskelu A, kaikki alkoholijuomat;0905242-1
Suomen Ilmailumuseo;Tietotie 3 ( Karhumäentie 12);01530;Vantaa;Vantaa;07.10.2020;Anniskelu A, kaikki alkoholijuomat;1442039-9
Suomen Kansallismuseon ravintolat;Mannerheimintie 34;00100;Helsinki;Helsinki;01.02.2013;Anniskelu A, kaikki alkoholijuomat;0986855-1
Suomen Latu Kiilopää;Kiilopääntie620;99830;Saariselkä;Inari;10.06.2011;Vähittäismyyntilupa/max. 5.5 %;0202192-1
Suomenlinnakeskuksen kahvila;Suomenlinna C 74;00190;Helsinki;Helsinki;06.06.2018;Ann.lupa sis. vähittäismyynnin;0220249-0
Suomenlinnan Panimon Shop;Suomenlinna C 1;00190;Helsinki;Helsinki;22.06.2021;Vähittäismyyntilupa/max. 5.5 %;0998922-2
Suomenlinnan Upseerikerho;Suomenlinna C 53;00190;Helsinki;Helsinki;06.03.2023;Anniskelu A, kaikki alkoholijuomat;0217064-4
Suomenlinnan kesäteatteri;Suomenlinna B 47;00190;Helsinki;Helsinki;21.05.2018;Anniskelu A, kaikki alkoholijuomat;0116857-7
Suomijärven kruunu;Mäkikuja 2;39920;Suomijärvi;Karvia;02.11.2020;Anniskelu A, kaikki alkoholijuomat;2925706-1
Suomussalmen Nuorisoseurantalo;Sepäntie 4;89800;Suomussalmi kk;Suomussalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0473272-7
Suomussalmen Seurahuone;Kauppakatu 7;89600;Suomussalmi;Suomussalmi;28.09.2015;Anniskelu A, kaikki alkoholijuomat;2705259-9
Suonenjoen jäähalli;Koulukatu 6;77600;Suonenjoki;Suonenjoki;01.10.2022;Määräaikainen A, kaikki alkoholijuomat;3208176-5
Suoraman Pub;Isolukontie 2;36200;Kangasala;Kangasala;06.10.2014;Anniskelu A, kaikki alkoholijuomat;0977091-7
Suoravintola;Pölhövaarantie 61;89400;Hyrynsalmi;Hyrynsalmi;15.07.2022;Anniskelu A, kaikki alkoholijuomat;2902641-5
Super Baari;Ratapihankatu 39;33100;Tampere;Tampere;19.12.2022;Anniskelu A, kaikki alkoholijuomat;2880532-9
Super Bowl;Hietalahden kauppahalli, Lönnr;00180;Helsinki;Helsinki;13.04.2021;Anniskelu A, kaikki alkoholijuomat;2927865-5
SuperPark Oulu;Tyrnäväntie 16;90400;Oulu;Oulu;01.04.2021;Anniskelu A, kaikki alkoholijuomat;0187614-3
Superjymy/Sporttibaarit;Tervatie 1;88600;Sotkamo;Sotkamo;01.05.2022;Anniskelu A, kaikki alkoholijuomat;1512478-6
Superpark Vantaa;Tammmiston kauppatie 13;01510;Vantaa;Vantaa;01.12.2022;Anniskelu A, kaikki alkoholijuomat;2922955-4
Surf House Helsinki;Fredikanterassi 1;00520;Helsinki;Helsinki;15.10.2019;Anniskelu A, kaikki alkoholijuomat;2851339-3
Surf Shack;Linnankatu 42;20100;Turku;Turku;04.06.2018;Ann.lupa sis. vähittäismyynnin;2837337-8
Susanna Kankare;Vanha Fiskarsintie 72;10440;Bollsta;Raasepori;07.10.2020;Anniskelulupa ilman toimipaikkaa;N/A
SusaŽs Bistro;Vapaudenkatu 6;98100;Kemijärvi;Kemijärvi;13.12.2011;Anniskelu A, kaikki alkoholijuomat;2428822-1
Sushi Forest;Hämeentie 32;00530;Helsinki;Helsinki;05.04.2018;Anniskelu A, kaikki alkoholijuomat;2589513-8
Sushi Forest;Mechelininkatu 8;00100;Helsinki;Helsinki;24.11.2022;Anniskelu A, kaikki alkoholijuomat;3314949-3
Sushi Hot;Läntinen Pitkäkatu 1;20100;Turku;Turku;06.02.2018;Anniskelu A, kaikki alkoholijuomat;2123680-5
Sushi House;Kauppakatu 5-8;08100;Lohja;Lohja;11.02.2020;Anniskelu A, kaikki alkoholijuomat;3101184-5
Sushi House;Huopalahdentie 27;00350;Helsinki;Helsinki;15.12.2022;Anniskelu A, kaikki alkoholijuomat;2544377-2
Sushi House Hyvinkää;Hämeenkatu 8;05800;Hyvinkää;Hyvinkää;01.12.2020;Anniskelu A, kaikki alkoholijuomat;2722976-1
Sushi House Salo;Turuntie 15;24100;Salo;Salo;03.11.2021;Anniskelu A, kaikki alkoholijuomat;3227680-2
Sushi Like;Ratastie 13 D;03100;Nummela;Vihti;07.11.2017;Anniskelu A, kaikki alkoholijuomat;N/A
Sushi hot Tiiriö;Katsastusmiehentie 6;13130;Hämeenlinna;Hämeenlinna;14.07.2022;Anniskelu A, kaikki alkoholijuomat;2683492-7
Sushibar + Wine;Fredrikinkatu 42;00100;Helsinki;Helsinki;19.10.2022;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine City;Kaivokatu 8, Lt 257;00100;Helsinki;Helsinki;05.12.2017;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine Kallio;Hämeentie 19;00530;Helsinki;Helsinki;01.08.2019;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine Uudenmaankatu;Annankatu 13;00120;Helsinki;Helsinki;19.10.2022;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar+Wine Iso Omena;Piispansilta 9 LT G-124,M1-5;02230;Espoo;Espoo;07.10.2022;Määräaikainen A, kaikki alkoholijuomat;2290559-9
Susiraja Camp;Ouluntie 50;93400;Taivalkoski;Taivalkoski;16.06.2020;Anniskelu A, kaikki alkoholijuomat;3136088-5
Suukosken Keidas;Itäpuolentie 4064;95355;Koivu;Tervola;18.05.2019;Anniskelu A, kaikki alkoholijuomat;2497687-6
SuurSavohalli;Urheilutie 4 A;58900;Rantasalmi;Rantasalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1586022-2
Suurimaan Kauppa;Tykkööntie 1080;38860;Suurimaa;Jämijärvi;28.09.2007;Vähittäismyyntilupa/max. 5.5 %;0949918-6
Suvannon Santra;Rantakatu 13;80100;Joensuu;Joensuu;10.03.2017;Anniskelu A, kaikki alkoholijuomat;2370168-6
Suvilahden TBA;Kaasutehtaankatu 1, rakennus 5;00540;Helsinki;Helsinki;07.06.2019;Anniskelu A, kaikki alkoholijuomat;2632449-2
Suviranta;Aittoniementie 220;91760;Vaala;Vaala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2646906-9
Suviranta;Pohjoisrannantie 779;95100;Kuivaniemi;Ii;02.06.2023;Anniskelu A, kaikki alkoholijuomat;2646906-9
Suvitien Merijakamo;Suvitie 14;26100;Rauma;Rauma;01.03.2019;Ann.lupa sis. vähittäismyynnin;2334209-7
